seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|LR898468.1_cds_CAD6498704.1_62 [protein_id=CAD6498704.1] [location=join(851938..852143,852195..852470,852531..853038)] [gbkey=CDS]	56.753955281759154	0.783294364578242	0.29559748427672955	0.5010162601626016	0.44025157232704404	0.24080061536110284
lcl|LR898468.1_cds_CAD6498705.1_63 [protein_id=CAD6498705.1] [location=complement(join(869107..871480,871526..871632,871678..876291))] [gbkey=CDS]	53.293573334121064	0.8287664241434028	0.33856893542757416	0.4483001833827056	0.3206806282722513	0.2524850255749642
lcl|LR898468.1_cds_CAD6498706.1_64 [protein_id=CAD6498706.1] [location=join(876826..876900,876956..877404,877449..877758)] [gbkey=CDS]	52.71434057008289	0.8184222583046685	0.35074626865671643	0.4106280193236715	0.34328358208955223	0.23966567496648639
lcl|LR898468.1_cds_CAD6498707.1_65 [protein_id=CAD6498707.1] [location=complement(join(888712..888802,888991..889401,889454..889882,889928..890037,890085..890186,890234..890365,890416..891423,891473..891523))] [gbkey=CDS]	54.45565753621082	0.8162604596985482	0.3372859025032938	0.41494845360824745	0.4018445322793149	0.2459138600944361
lcl|LR898468.1_cds_CAD6498708.1_66 [protein_id=CAD6498708.1] [location=join(893702..893992,894051..894215,894263..894520,894569..895171,895217..895369,895419..895436,895485..895513,895569..895612,895665..895744,895796..895907,895952..896127)] [gbkey=CDS]	53.27833327801682	0.8265073430412022	0.34609250398724084	0.4128965158606344	0.31738437001594894	0.24826591632172798
lcl|LR898468.1_cds_CAD6498709.1_67 [protein_id=CAD6498709.1] [location=925131..925370] [gbkey=CDS]	53.21575293676743	0.794094926667175	0.34210526315789475	0.5170940170940171	0.40789473684210525	0.26537975598738445
lcl|LR898468.1_cds_CAD6498710.1_68 [protein_id=CAD6498710.1] [location=925867..926136] [gbkey=CDS]	54.82759191222584	0.7584578342771917	0.2823529411764706	0.4621212121212121	0.5176470588235295	0.23599532963257372
lcl|LR898468.1_cds_CAD6498711.1_69 [protein_id=CAD6498711.1] [location=926550..926777] [gbkey=CDS]	54.25522051863304	0.8015166235171893	0.3380281690140845	0.40540540540540543	0.4788732394366197	0.24190965857731345
lcl|LR898468.1_cds_CAD6498712.1_70 [protein_id=CAD6498712.1] [location=complement(989651..991285)] [gbkey=CDS]	54.57176098004784	0.8023922522467087	0.2767175572519084	0.45426642111724985	0.40458015267175573	0.2389486921449805
lcl|LR898468.1_cds_CAD6498713.1_71 [protein_id=CAD6498713.1] [location=1018954..1019310] [gbkey=CDS]	54.63336316758495	0.7785600656773	0.27927927927927926	0.4586894586894587	0.43243243243243246	0.2518507577438771
lcl|LR898468.1_cds_CAD6498714.1_72 [protein_id=CAD6498714.1] [location=join(1024749..1025058,1025191..1025528)] [gbkey=CDS]	54.20887038820006	0.8031437219665006	0.34285714285714286	0.4423676012461059	0.4142857142857143	0.25321247153379306
lcl|LR898468.1_cds_CAD6498715.1_73 [protein_id=CAD6498715.1] [location=complement(join(1038994..1039354,1039511..1039731,1039797..1039955))] [gbkey=CDS]	54.402515102035565	0.7978743842163849	0.26382978723404255	0.47346938775510206	0.451063829787234	0.2536339270573621
lcl|LR898468.1_cds_CAD6498716.1_74 [protein_id=CAD6498716.1] [location=complement(join(1092144..1092293,1092359..1092976,1093020..1093076,1093123..1093136,1093219..1093309))] [gbkey=CDS]	55.19519316613786	0.7978049904952098	0.30201342281879195	0.48268398268398266	0.40939597315436244	0.24796328552513053
lcl|LR898468.1_cds_CAD6498717.1_75 [protein_id=CAD6498717.1] [location=1097556..1102328] [gbkey=CDS]	54.21184208164597	0.8132221986296982	0.3241830065359477	0.42143906020558003	0.38823529411764707	0.24342567363221956
lcl|LR898468.1_cds_CAD6498719.1_77 [protein_id=CAD6498719.1] [location=join(1201586..1201599,1201708..1201792,1201841..1201866,1201910..1202417,1202469..1202612)] [gbkey=CDS]	53.89398754255273	0.7590184266529422	0.26877470355731226	0.49286640726329445	0.5573122529644269	0.25573454982291266
lcl|LR898468.1_cds_CAD6498720.1_78 [protein_id=CAD6498720.1] [location=join(1202903..1202963,1202998..1203104,1203175..1203699)] [gbkey=CDS]	50.55433795188887	0.745689438457081	0.20179372197309417	0.5589519650655022	0.6053811659192825	0.25215576661298533
lcl|LR898468.1_cds_CAD6498721.1_79 [protein_id=CAD6498721.1] [location=join(1224346..1224674,1224725..1224759,1224805..1225835)] [gbkey=CDS]	53.40026300122748	0.8169264085575413	0.29555555555555557	0.42332613390928725	0.35777777777777775	0.23625930692952263
lcl|LR898468.1_cds_CAD6498723.1_81 [protein_id=CAD6498723.1] [location=complement(join(1237649..1237700,1237751..1237767,1237818..1237972,1238040..1238398,1238459..1238601))] [gbkey=CDS]	54.61626056993966	0.8098595762850777	0.33047210300429186	0.43472222222222223	0.351931330472103	0.23487258189414945
lcl|LR898468.1_cds_CAD6498724.1_82 [protein_id=CAD6498724.1] [location=join(1239383..1242208,1242272..1242562)] [gbkey=CDS]	52.55171493863679	0.8367723382994163	0.420533070088845	0.38733526197364193	0.3119447186574531	0.24552671057019768
lcl|LR898468.1_cds_CAD6498725.1_83 [protein_id=CAD6498725.1] [location=complement(join(1248442,1248596..1248869,1248914..1248984,1249035..1249074,1249120..1249228,1249274..1249607,1249657..1249901))] [gbkey=CDS]	51.96305650333683	0.8311204117536777	0.3400576368876081	0.4410112359550562	0.36023054755043227	0.25366713305603095
